Label;Type [FLOAT|Boolean];Input;Output;Address;Range;Offset
GRID_U_FLOAT;F;Y;N;89;1000;0
BATT_P_FLOAT;F;Y;N;57;6000;-3000
BATT_CHRG_FLOAT;F;Y;N;49;1;0
SOLAR_P_FLOAT;F;Y;N;61;1500;0
WIND_P_FLOAT;F;Y;N;53;1000;0
COAL_P_FLOAT;F;Y;N;81;600;0
COAL_AMOUNT;F;Y;N;65;1;0
HOME_P_FLOAT;F;Y;N;101;1000;0
PUBLIC_P_FLOAT;F;Y;N;97;500;0
FACTORY_P_FLOAT;F;Y;N;105;2000;0
BUNKER_P_FLOAT;F;Y;N;93;500;0
WIND_FLOAT;F;Y;N;301;1;0
WEATHER_FLOAT;F;Y;N;305;1;0
WEATHER_FORECAST_FLOAT;F;Y;N;309;1;0
WEATHER_COUNTDOWN_FLOAT;F;Y;;313;600;0
CLOCK_FLOAT;F;Y;N;317;1;0
REMOTE_COAL_SP;F;Y;Y;209;1;0
REMOTE_FACTORY_SP;F;Y;Y;205;1;0
REMOTE_SOLAR_SW;B;Y;Y;401;1;0
REMOTE_WIND_SW;B;Y;Y;405;1;0
FACTORY_ENERGY;F;Y;N;341;3600000;0
SCORE;F;Y;N;345;3600000;0
COAL_ST;F;Y;N;601;1;0
FACTORY_ST;F;Y;N;605;1;0
SOLAR_CONNECT_ST;B;Y;N;609;1;0
WIND_CONNECT_ST;B;Y;N;613;1;0
SIM_ENABLE;B;Y;Y;409;1;0
